provider_name,scraping_month,prix_moyen_kwh_base
Plenitude France,2025-12-01,0.2119
Plenitude France,2025-11-01,0.2099166666666667
Plenitude France,2025-10-01,0.19999999999999998
Plenitude France,2025-09-01,0.19519999999999998
Plenitude France,2025-08-01,0.1952
Plenitude France,2025-07-01,0.19675000000000004
Plenitude France,2025-06-01,0.19578333333333334
Plenitude France,2025-05-01,0.18949999999999997
Plenitude France,2025-04-01,0.19435000000000005
Plenitude France,2025-03-01,0.19334531250000003
Plenitude France,2025-02-01,0.19317884615384617
Plenitude France,2025-01-01,0.1973
Plenitude France,2024-12-01,0.20520000000000002
Plenitude France,2024-11-01,0.20520000000000008
Primeo Energie,2026-06-01,0.1625
Primeo Energie,2026-05-01,0.1625
Primeo Energie,2026-04-01,0.16590597014925373
Primeo Energie,2026-03-01,0.17563333333333339
Primeo Energie,2026-02-01,0.17584827586206897
Primeo Energie,2026-01-01,0.18148181818181816
Primeo Energie,2025-12-01,0.18456857142857142
Primeo Energie,2025-11-01,0.17136666666666669
Primeo Energie,2025-10-01,0.17136666666666667
Primeo Energie,2025-09-01,0.17136666666666658
Primeo Energie,2025-08-01,0.1723651515151515
Primeo Energie,2025-07-01,0.17740000000000003
Primeo Energie,2025-06-01,0.18214945054945061
Primeo Energie,2025-05-01,0.18606666666666663
Primeo Energie,2025-04-01,0.18606666666666663
Primeo Energie,2025-03-01,0.18606666666666666
Primeo Energie,2025-02-01,0.18134166666666665
Primeo Energie,2025-01-01,0.19785
Primeo Energie,2024-12-01,0.212
Primeo Energie,2024-11-01,0.21572692307692307
Primeo Energie,2024-10-01,0.2177
Primeo Energie,2024-09-01,0.2177
Primeo Energie,2024-08-01,0.19716190476190476
Primeo Energie,2024-07-01,0.2177
Sowee,2025-02-01,0.2774875
Sowee,2025-01-01,0.2641
Sowee,2024-12-01,0.2641
Sowee,2024-11-01,0.2641
Sowee,2024-10-01,0.24879999999999997
Sowee,2024-09-01,0.25620000000000004
Sowee,2024-08-01,0.24995
Sowee,2024-07-01,0.24714999999999998
TotalEnergies,2026-06-01,0.19183266666666665
TotalEnergies,2026-05-01,0.193252
TotalEnergies,2026-04-01,0.18567499999999995
TotalEnergies,2026-03-01,0.18535
TotalEnergies,2026-02-01,0.19068706896551724
TotalEnergies,2026-01-01,0.192175
TotalEnergies,2025-12-01,0.192175
TotalEnergies,2025-11-01,0.19256693548387094
TotalEnergies,2025-10-01,0.19262500000000005
TotalEnergies,2025-09-01,0.19262500000000013
TotalEnergies,2025-08-01,0.19281145833333332
TotalEnergies,2025-07-01,0.19757499999999997
TotalEnergies,2025-06-01,0.19484800000000005
TotalEnergies,2025-05-01,0.19421367521367519
TotalEnergies,2025-04-01,0.19431
TotalEnergies,2025-03-01,0.19623225806451614
TotalEnergies,2025-02-01,0.20092127659574469
TotalEnergies,2025-01-01,0.20979183673469387
TotalEnergies,2024-12-01,0.21613333333333334
TotalEnergies,2024-11-01,0.21613333333333334
TotalEnergies,2024-10-01,0.21613333333333337
TotalEnergies,2024-09-01,0.21702352941176473
TotalEnergies,2024-08-01,0.2237
TotalEnergies,2024-07-01,0.2237
Urban Solar Energy,2026-06-01,0.20255
Urban Solar Energy,2026-05-01,0.20255
Urban Solar Energy,2026-04-01,0.20255
Urban Solar Energy,2026-03-01,0.20255000000000004
Urban Solar Energy,2026-02-01,0.20255000000000004
Urban Solar Energy,2026-01-01,0.20485
Urban Solar Energy,2025-12-01,0.20484999999999998
Urban Solar Energy,2025-11-01,0.20485000000000006
Urban Solar Energy,2025-10-01,0.20485000000000006
Urban Solar Energy,2025-09-01,0.20484999999999995
Urban Solar Energy,2025-08-01,0.20485
Urban Solar Energy,2025-07-01,0.2169
Urban Solar Energy,2025-06-01,0.21689999999999998
Urban Solar Energy,2025-05-01,0.21690000000000004
Urban Solar Energy,2025-04-01,0.2169
Urban Solar Energy,2025-03-01,0.21689999999999998
Urban Solar Energy,2025-02-01,0.21689999999999998
Urban Solar Energy,2025-01-01,0.2616
Urban Solar Energy,2024-12-01,0.2616
Urban Solar Energy,2024-11-01,0.26336190476190474
Urban Solar Energy,2024-10-01,0.269
Urban Solar Energy,2024-09-01,0.269
Urban Solar Energy,2024-08-01,0.269
Urban Solar Energy,2024-07-01,0.2603
Vattenfall,2026-06-01,0.18613333333333332
Vattenfall,2026-05-01,0.18613333333333335
Vattenfall,2026-04-01,0.18613333333333329
Vattenfall,2026-03-01,0.18613333333333335
Vattenfall,2026-02-01,0.18622111111111103
Vattenfall,2026-01-01,0.18986666666666666
Vattenfall,2025-12-01,0.18986666666666668
Vattenfall,2025-11-01,0.18986666666666668
Vattenfall,2025-10-01,0.18986666666666671
Vattenfall,2025-09-01,0.19048767123287669
Vattenfall,2025-08-01,0.19163000000000002
Vattenfall,2025-07-01,0.1975
Vattenfall,2025-06-01,0.19749999999999998
Vattenfall,2025-05-01,0.19749999999999998
Vattenfall,2025-04-01,0.19749999999999998
Vattenfall,2025-03-01,0.1975
Vattenfall,2025-02-01,0.19862280701754384
Vattenfall,2025-01-01,0.22896666666666665
Vattenfall,2024-12-01,0.22896666666666671
Vattenfall,2024-11-01,0.22896666666666671
Vattenfall,2024-10-01,0.22896666666666668
Vattenfall,2024-09-01,0.22896666666666665
Vattenfall,2024-08-01,0.22924999999999995
Vattenfall,2024-07-01,0.22896666666666665
Wekiwi,2026-03-01,0.20500000000000004
Wekiwi,2026-02-01,0.21760000000000002
Wekiwi,2026-01-01,0.20470000000000005
Wekiwi,2025-12-01,0.2049
Wekiwi,2025-11-01,0.2084
Wekiwi,2025-10-01,0.21509999999999999
Wekiwi,2025-09-01,0.21410000000000004
Wekiwi,2025-08-01,0.21674050632911396
Wekiwi,2025-07-01,0.24261612903225807
Wekiwi,2025-06-01,0.23313225806451612
Wekiwi,2025-05-01,0.23585862068965513
Wekiwi,2025-04-01,0.2434
